symbol,name,market
2543,皇昌營造股份有限公司,TW
2545,皇翔建設股份有限公司,TW
2546,根基營造股份有限公司,TW
2547,日勝生活科技股份有限公司,TW
2548,華固建設股份有限公司,TW
2597,潤弘精密工程事業股份有限公司,TW
2601,益航股份有限公司,TW
2603,長榮海運股份有限公司,TW
2605,新興航運股份有限公司,TW
2606,裕民航運股份有限公司,TW
2607,長榮國際儲運股份有限公司,TW
2608,嘉里大榮物流股份有限公司,TW
2609,陽明海運股份有限公司,TW
2610,中華航空股份有限公司,TW
2611,志信國際股份有限公司,TW
2612,中國航運股份有限公司,TW
2613,中國貨櫃運輸股份有限公司,TW
2614,東森國際股份有限公司,TW
2615,萬海航運股份有限公司,TW
2616,山隆通運股份有限公司,TW
2617,台灣航業股份有限公司,TW
2618,長榮航空股份有限公司,TW
2630,亞洲航空股份有限公司,TW
2633,台灣高速鐵路股份有限公司,TW
2634,漢翔航空工業股份有限公司,TW
2636,台驊國際控股股份有限公司,TW
2637,慧洋海運股份有限公司,TW
2642,台灣宅配通股份有限公司,TW
2645,長榮航太科技股份有限公司,TW
2646,星宇航空股份有限公司,TW
2701,萬華企業股份有限公司,TW
2702,華園飯店股份有限公司,TW
2704,國賓大飯店股份有限公司,TW
2705,六福開發股份有限公司,TW
2706,第一華僑大飯店股份有限公司,TW
2707,晶華國際酒店股份有限公司,TW
2712,遠雄悅來大飯店股份有限公司,TW
2722,夏都國際開發股份有限公司,TW
2723,開曼美食達人股份有限公司,TW
2727,王品餐飲股份有限公司,TW
2731,雄獅旅行社股份有限公司,TW
2739,寒舍餐旅管理顧問股份有限公司,TW
2748,雲品國際酒店股份有限公司,TW
2753,八方雲集國際股份有限公司,TW
2762,世界健身股份有限公司,TW
2801,彰化商業銀行股份有限公司,TW
2812,台中商業銀行股份有限公司,TW
2816,旺旺友聯產物保險股份有限公司,TW
2820,中華票券金融股份有限公司,TW
2832,台灣產物保險股份有限公司,TW
2834,臺灣中小企業銀行股份有限公司,TW
2836,高雄銀行股份有限公司,TW
2838,聯邦商業銀行股份有限公司,TW
2845,遠東國際商業銀行股份有限公司,TW
2849,安泰商業銀行股份有限公司,TW
2850,新光產物保險股份有限公司,TW
2851,中央再保險股份有限公司,TW
2852,第一產物保險股份有限公司,TW
2855,統一綜合證券股份有限公司,TW
2867,三商美邦人壽保險股份有限公司,TW
2880,華南金融控股股份有限公司,TW
2881,富邦金融控股股份有限公司,TW
2882,國泰金融控股股份有限公司,TW
2883,凱基金融控股股份有限公司,TW
2884,玉山金融控股股份有限公司,TW
2885,元大金融控股股份有限公司,TW
2886,兆豐金融控股股份有限公司,TW
2887,台新新光金融控股股份有限公司,TW
2889,國票金融控股股份有限公司,TW
2890,永豐金融控股股份有限公司,TW
2891,中國信託金融控股股份有限公司,TW
2892,第一金融控股股份有限公司,TW
2897,王道商業銀行股份有限公司,TW
2901,欣欣大眾市場股份有限公司,TW
2903,遠東百貨股份有限公司,TW
2904,匯僑股份有限公司,TW
2905,三商投資控股股份有限公司,TW
2906,高林實業股份有限公司,TW
2908,特力股份有限公司,TW
2910,統領百貨股份有限公司,TW
2911,麗嬰房股份有限公司,TW
2912,統一超商股份有限公司,TW
2913,台灣農林股份有限公司,TW
2915,潤泰全球股份有限公司,TW
2923,鼎固控股有限公司,TW
2929,淘帝國際控股有限公司,TW
2939,永邑國際集團股份有限公司,TW
2945,三商家購股份有限公司,TW
3002,歐格電子股份有限公司,TW
3003,健和興端子股份有限公司,TW
3004,豐達科技股份有限公司,TW
3005,神基控股股份有限公司,TW
3006,晶豪科技股份有限公司,TW
3008,大立光電股份有限公司,TW
3010,華立企業股份有限公司,TW
3011,今皓實業股份有限公司,TW
3013,晟銘電子科技股份有限公司,TW
3014,聯陽半導體股份有限公司,TW
3015,全漢企業股份有限公司,TW
3016,嘉晶電子股份有限公司,TW
3017,奇鋐科技股份有限公司,TW
3018,隆銘綠能科技工程股份有限公司,TW
3019,亞洲光學股份有限公司,TW
3021,鴻名企業股份有限公司,TW
3022,威強電工業電腦股份有限公司,TW
3023,信邦電子股份有限公司,TW
3024,憶聲電子股份有限公司,TW
3025,星通資訊股份有限公司,TW
3026,禾伸堂企業股份有限公司,TW
3027,盛達電業股份有限公司,TW
3028,增你強股份有限公司,TW
3029,零壹科技股份有限公司,TW
3030,德律科技股份有限公司,TW
3031,佰鴻工業股份有限公司,TW
3032,偉訓科技股份有限公司,TW
3033,威健實業股份有限公司,TW
3034,聯詠科技股份有限公司,TW
3035,智原科技股份有限公司,TW
3036,文曄科技股份有限公司,TW
3037,欣興電子股份有限公司,TW
3038,全台晶像股份有限公司,TW
3040,遠見科技股份有限公司,TW
3041,揚智科技股份有限公司,TW
3042,台灣晶技股份有限公司,TW
3043,科風股份有限公司,TW
3044,健鼎科技股份有限公司,TW
3045,台灣大哥大股份有限公司,TW
3046,建碁股份有限公司,TW
3047,訊舟科技股份有限公司,TW
3048,益登科技股份有限公司,TW
3049,精金科技股份有限公司,TW
3050,鈺德科技股份有限公司,TW
3051,力特光電科技股份有限公司,TW
3052,夆典科技開發股份有限公司,TW
3054,立萬利創新股份有限公司,TW
3055,蔚華科技股份有限公司,TW
3056,富華創新股份有限公司,TW
3057,喬鼎資訊股份有限公司,TW
3058,立德電子股份有限公司,TW
3059,華晶科技股份有限公司,TW
3060,銘異科技股份有限公司,TW
3062,建漢科技股份有限公司,TW
3090,日電貿股份有限公司,TW
3092,鴻碩精密電工股份有限公司,TW
3094,聯傑國際股份有限公司,TW
3130,一零四資訊科技股份有限公司,TW
3135,凌航科技股份有限公司,TW
3138,耀登科技股份有限公司,TW
3149,正達國際光電股份有限公司,TW
3150,鈺寶科技股份有限公司,TW
3164,景岳生物科技股份有限公司,TW
3167,大量科技股份有限公司,TW
3168,眾福科技股份有限公司,TW
3189,景碩科技股份有限公司,TW
3209,全科科技股份有限公司,TW
